,ISIN,COMPANY_CODE,SECTOR_CODE,REPORTING_YEAR,N_SDG1,N_SDG2,N_SDG3,N_SDG4,N_SDG5,N_SDG6,N_SDG7,N_SDG8,N_SDG9,N_SDG10,N_SDG11,N_SDG12,N_SDG13,N_SDG14,N_SDG15,N_SDG16,N_SDG17,Market Value
15937,GB00BM8PJY71,ROYALB00002,FINS,2022,0,0,-290000,0,0,-120000,0,0,0,0,-70000,-69000,-5200000,-46000,-26000,0,0,"$18,783.20 "
15950,TW0001101004,TAIWAN00004,CEME,2022,0,0,-12000000,0,0,-500000,0,0,0,0,-16000000,-5500000,-240000000,-95000,-150000,0,0,"$7,829.19 "
15951,TW0001101004,TAIWAN00004,CEME,2022,0,0,-12000000,0,0,-500000,0,0,0,0,-16000000,-5500000,-240000000,-95000,-150000,0,0,"$7,829.19 "
15964,US6935061076,PPGIND00001,PERF,2022,0,0,-10000000,0,0,-5200000,0,0,0,0,-1700000,-1700000,-57000000,-1300000,-1400000,0,0,"$32,476.96 "
15965,US6935061076,PPGIND00001,PERF,2022,0,0,-10000000,0,0,-5200000,0,0,0,0,-1700000,-1700000,-57000000,-1300000,-1400000,0,0,"$32,476.96 "
15978,CA3039011026,FAIRFA00001,FINS,2022,0,0,-650000,0,0,-280000,0,0,0,0,-160000,-160000,-6200000,-100000,-61000,0,0,"$15,624.37 "
15979,CA3039011026,FAIRFA00001,FINS,2022,0,0,-650000,0,0,-280000,0,0,0,0,-160000,-160000,-6200000,-100000,-61000,0,0,"$15,624.37 "
15992,US4448591028,HUMANA00001,FINS,2022,0,0,-460000,0,0,-200000,0,0,0,0,-110000,-110000,-7200000,-74000,-42000,0,0,"$65,156.73 "
15993,US4448591028,HUMANA00001,FINS,2022,0,0,-460000,0,0,-200000,0,0,0,0,-110000,-110000,-7200000,-74000,-42000,0,0,"$65,156.73 "
16006,AU000000BXB1,BRAMBL00001,ROAL,2022,0,0,-1600000,0,0,-540000,0,0,0,0,-320000,-350000,-5200000,-280000,-110000,0,0,"$13,082.34 "
16007,AU000000BXB1,BRAMBL00001,ROAL,2022,0,0,-1600000,0,0,-540000,0,0,0,0,-320000,-350000,-5200000,-280000,-110000,0,0,"$13,082.34 "
16020,US2600031080,DOVERC00001,CONG,2022,0,0,-30000,0,0,-25000,0,0,0,0,-6500,-2200,-9400000,0,-8500,0,0,"$20,425.66 "
16021,US2600031080,DOVERC00001,CONG,2022,0,0,-30000,0,0,-25000,0,0,0,0,-6500,-2200,-9400000,0,-8500,0,0,"$20,425.66 "
16034,US9022521051,TYLERT00001,ITIS,2022,0,0,-83000,0,0,-36000,0,0,0,0,-20000,-20000,-810000,-13000,-7600,0,0,"$15,095.98 "
16035,US9022521051,TYLERT00001,ITIS,2022,0,0,-83000,0,0,-36000,0,0,0,0,-20000,-20000,-810000,-13000,-7600,0,0,"$15,095.98 "
16048,US5024311095,L3HARR00001,EEMA,2022,0,0,-520000,0,0,-170000,0,0,0,0,-88000,-99000,-13000000,-84000,-40000,0,0,"$37,912.92 "
